Modulator	Frequency (Hz)	Amplitude
1	5.092958343219834	7.969353955786579
2	2611.8702410276182	2.256881286299972e-07
3	2104.0145256772826	1.520420346983895
4	1841.8080989971395	6.3723233029066115
