Modulator	Frequency (Hz)	Amplitude	Waveform
1	147.39029557252616	0.15999941365228554	sine_wave
2	223.68955878848692	0.008077630535875402	square_wave
3	297.3818147046404	0.059227517964890286	sine_wave
4	521.0417269170509	0.02044018635278333	sine_wave
