Modulator	Frequency (Hz)	Amplitude	Waveform
1	2500.3578843915375	0.0019232890924217453	noise_wave
2	2505.7398944694187	6.267913972537044e-09	square_wave
3	2504.725801446099	0.0	triangle_wave
4	2499.6283619995424	0.8321556132607641	triangle_wave
