Partial	Frequency (Hz)	Amplitude
1	136.94970753383495	1.0517165500240838e-06
2	147.38038299601976	8.568334389647968e-05
3	1085.0045738583322	0.7727745957660239
4	1085.9954876036427	0.773143071714057
