Modulator	Frequency (Hz)	Amplitude	Waveform
1	2502.3182828195886	5.352974053549817e-10	sawtooth_wave
2	2502.1655674944072	0.0	sine_wave
3	2503.1770401480103	0.3128402455703766	sawtooth_wave
4	2503.6020677320203	1.0	noise_wave
