Modulator	Frequency (Hz)	Amplitude	Waveform
1	2502.792973078783	0.0	sawtooth_wave
2	2504.066735437578	0.0	square_wave
3	2503.009017327102	0.0	square_wave
4	2503.034390887968	0.0	sawtooth_wave
