Modulator	Frequency (Hz)	Amplitude	Waveform
1	2497.516535339277	2.0021726435524192e-08	sawtooth_wave
2	2505.6752644265443	2.1240208503832184e-08	square_wave
3	2501.8139532306295	0.462153379186356	triangle_wave
4	2499.008881620828	1.0	square_wave
