Modulator	Frequency (Hz)	Amplitude	Waveform
1	2497.0197531627205	1.7628850122548565e-09	triangle_wave
2	2524.4016383952753	5.988151561832293e-07	noise_wave
3	2502.9674960038906	0.0	sine_wave
4	2497.565653643691	0.0	sine_wave
