Modulator	Frequency (Hz)	Amplitude	Waveform
1	1098.2571415657121	1.2067585998151953e-05	sine_wave
2	757.5028089085936	0.9680335105714934	sine_wave
3	1095.5881852628572	6.859515618744955e-05	sine_wave
4	757.9951477288478	0.9643756305043856	sine_wave
