Modulator	Frequency (Hz)	Amplitude
1	2505.6032345493327	6.161108474116446e-06
2	2504.4172249426188	4.705211556807728
3	2487.821959066796	2.7087769369619688
4	2487.2267025610436	2.7160593551834875
