Modulator	Frequency (Hz)	Amplitude	Waveform
1	223.80721842398088	0.056782399239687344	sine_wave
2	297.38383176343905	0.28583451318451303	sine_wave
3	147.36857497329584	0.7910188811116046	sine_wave
4	4365.777227297993	0.019107133221247834	sawtooth_wave
