Modulator	Frequency (Hz)	Amplitude	Waveform
1	1271.46462637675	0.7684418819844723	noise_wave
2	1832.3170247264206	0.39852838108593747	noise_wave
3	4967.343933775435	0.1854124977200502	sawtooth_wave
4	2414.1124573796988	0.08480553330991825	triangle_wave
